Spanish,English
dice,He Says
hoy,Today
tres,Three
buena,Good
necesito,Needed
dije,I Said
oye,Hey
gusta,Like
quería,Wanted
será,Will Be
haber,To Have
parte,Part
todas,All
crees,You Think
buen,Good
conmigo,With Me
nombre,Name
mierda,Shit
nuestra,Our
mal,Wrong
debe,Has To
realmente,Really
estas,Are
aún,Still
mío,Own
toda,All
hacerlo,Do It
cada,Each
visto,Viewed
importa,Import
contigo,With You
tienen,Have
hemos,We Have
razón,Reason
alguna,Some
tanto,So Much
saber,To Know
hizo,Did
veces,Times
serio,I Laughed
ven,Come
idea,Idea
eh,Hey
tarde,Late
problema,Trouble
hora,Hour
cierto,Certain
dicho,Saying
quien,Who
demasiado,Too
amor,Love
entre,Come In
ve,Go
pasado,Last
familia,Family
estos,These
policía,Policeman
debería,It Should
ustedes,You Guys
chica,Girl
esos,Those
chicos,Boys
cuenta,Bill
haces,You Do
todavía,Yet
salir,Get Out
algún,Some
vaya,Wow
unos,Some
veo,I See
amigos,Friends
hermano,Brother
pensé,I Thought
sabía,I Knew
cabeza,Head
ah,Ah
cariño,Affection
digo,Say
van,Go
hombres,Mens
buenas,Good
somos,Are
cualquier,Any
forma,Shape
mientras,While
lado,Side
debo,I Must
sería,Would
caso,Case
pueden,May
pasó,Step
primera,First
genial,Brilliant
chico,Guy
supuesto,Assumption
hice,I Made
pues,Then
adiós,Bye
muchas,Many
personas,Persons
señora,Ms
volver,Return
esas,Those
quizá,Maybe
contra,Against
camino,Path
durante,During
hablando,Talking
manera,Way
muerto,Dead
persona,Person
rápido,Quick
cuál,Which
ayuda,Help
historia,History
iba,I Was Going
supongo,I Suppose
nueva,New
entiendo,I Get It
dentro,Within
casi,Almost
puerta,Door
ves,You See
pasar,Pass
primero,First
significa,It Means
semana,Week
hacia,Toward
quizás,Maybe
espero,Wait
juntos,Together
año,Year
niños,Kids
pronto,Early
tío,Uncle
suerte,Luck
ciudad,Town
siquiera,Even
feliz,Happy
venir,Come
hija,Daughter
gustaría,Would Like
minutos,Minutes
cuánto,How Many
os,You
hey,Hey
muerte,Death
dejar,Let
realidad,Reality
deja,Leaves
problemas,Problems
vi,Saw
da,Gives
importante,Important
dijiste,Said
corazón,Heart
miedo,Afraid
jefe,Boss
agua,Water
haré,I Will Do
justo,Just
horas,Hours
poder,Can
buenos,Good Ones
esposa,Wife
manos,Hands
debes,You Should
viene,Comes
venga,Come On
nuestros,Our
ojos,Eyes
adelante,Ahead
encontrar,Find
mano,Hand
cinco,Five
niño,Kid
ninguna,None
otros,Others
cara,Face
cuidado,Watch Out
bajo,Low
cerca,Close
viejo,Old
déjame,Let Me
noches,Nights
bastante,Pretty
fin,End
tomar,Take
único,Unique
misma,One
escucha,Listens
ningún,No
suficiente,Enough
punto,Point
cuándo,When
sigue,Follow
haya,Is
equipo,Team
grande,Big
necesita,Needs To
llegar,To Get
incluso,Even
algunos,Some
doctor,Doctor
difícil,Hard
aunque,Although
hubiera,Had
primer,First
coche,Car
hago,I Make
clase,Class
cuatro,Four
mas,More
dices,You Say
pequeño,Little
llama,Call
toma,Taking
hiciste,Did
allá,There
última,Last
arriba,Above
tierra,Earth
guerra,War
pensar,To Think
pueda,Can
igual,Equal
loco,Mad
sangre,Blood
mujeres,Women
vuelta,Lap
fui,I Was
trabajar,To Work
tenido,Dyed
juego,Play
deberías,You Should
cuerpo,Body
e,And
algunas,Some
entrar,Get In
podía,I Could
debemos,Must
oportunidad,Chance
teléfono,Telephone
necesitamos,Need
final,Final
listo,Ready
fiesta,Party
muchos,Many
estabas,You Were There
quieren,They Want
vete,Go Away
auto,Car
dar,Give
vivir,To Live
posible,Possible
ok,Okay
hermana,Sister
número,Number
meses,Months
exactamente,Exactly
culpa,Fault
abajo,Down
escuela,School
ido,Gone
fuerte,Strong
diciendo,Saying
habla,Speaks
esté,This
ello,It
pregunta,Question
chicas,Girls
eran,Were
unas,Nails
pasando,Going
atrás,Behind
malo,Bad
capitán,Captain
sra.,Ms
bebé,Baby
segundo,Second
sabemos,We Know
mayor,Higher
comida,Meal
morir,To Die
conozco,Know
dame,Give To Me
fácil,Easy
comer,Eat
vino,Came
lista,Ready
haga,Make
necesitas,You Need
hijos,Sons
probablemente,Probably
padres,Parents
habitación,Bedroom
creer,To Believe
pensando,Thinking
fueron,They Were
dime,Tell Me
trata,About
buscando,Searching
tuve,I Had
tampoco,Either
amo,Love
joven,Young Man
podrías,Could You
sola,Alone
par,Pair
única,Only
hacen,Make
seguir,Continue
dr.,Dr
simplemente,Simply
dicen,They Say
medio,Half
puta,Bitch
saben,They Know
sentido,Sense
hagas,You Do
segura,Safe
esperar,Expect
lejos,Far
arma,Weapon
alto,High
pequeña,Small
dólares,Dollars
seis,Six
estaban,They Were
seguridad,Security
maldita,Damned
estuvo,He Was
preocupes,Worry
palabra,Word
esperando,Waiting
queda,Remains
oficina,Office
matar,Kill
iré,I Will Go
cama,Bed
además,What'S More
último,Latest
oído,Hearing
habría,There Would Be
estará,Will Be
dio,It Gave
recuerdo,I Remember
siendo,Being
acerca,About
tenga,Have
luz,Light
correcto,Right
ud.,You
demonios,Got Damn
nuestras,Ours
verte,To See You
dormir,To Sleep
sitio,Site
ayudar,Help
conseguir,To Get
di,Gave
marido,Husband
paz,Peace
idiota,Moron
plan,Plan
dado,Dice
cuanto,How Much
peor,Worse
murió,Died
pueblo,Village
vivo,Alive
venido,I Come
basta,Enough
paso,He Passed
deberíamos,We Should
música,Music
minuto,Minute
anoche,Last Night
llamar,To Call
piensa,Think
país,Country
digas,You Say
rey,King
perdón,Sorry
mucha,A Lot
falta,Lack
pienso,I Think
diablos,Devils
perdido,Lost
niña,Girl
señorita,Miss
diez,Ten
lleva,Carries
hospital,Hospital
grandes,Big
maldito,Damned
otras,Others
llamado,Called
hacemos,We Make
llevar,Carry
fuego,Fire
aqui,Here
tuvo,Had
poner,Put
calle,Street
acaba,Just
prueba,Proof
increíble,Amazing
real,Real
libro,Book
orden,Order
semanas,Weeks
especial,Special
mía,Mine
café,Coffee
duro,Lasted
empezar,Start
afuera,Outside
queremos,We Want
perro,Dog
cielo,Heaven
puesto,Market Stall
viaje,Trip
detrás,Behind
cuarto,Room
querida,Dear
haría,Would Do
preguntas,Questions
piensas,You Think
querido,Dear
libre,Free
buscar,Search For
cual,Which
diré,I'Ll Say
suena,Sounds
jugar,Play
cambio,Change
película,Film
millones,Millions
habrá,There Will Be
llamada,Call
resto,Rest
vemos,We See
extraño,Strange
mala,Bad
presidente,President
srta.,Ms
irme,Go
ropa,Clothing
perder,Miss
vuelve,Returns
agente,Agent
palabras,Words
información,Information
raro,Rare
hará,He Will Do
entiendes,You Understand
éste,This
trabajando,Working
tratando,Trying
general,General
trato,Treatment
usar,Use
perfecto,Perfect
derecho,Right
modo,Mode
ayer,Yesterday
conoces,You Know
demás,The Rest
quieras,Want
podríamos,We Could
noticias,News
asesino,Assassin
encontrado,Found
control,Control
odio,Hate
frente,Front
sexo,Sex
decirle,Tell Him
estaré,I Will Be
divertido,Funny
armas,Weapons
recuerdas,Remember
amiga,Friend
grupo,Group
asunto,Affair
acabo,Finished
mensaje,Message
encima,Above
atención,Attention
diferente,Different
cállate,Shut
daño,Hurt
sucede,Happens
cambiar,Change
siguiente,Following
sino,Otherwise
médico,Doctor
boca,Mouth
dejó,Let
error,Error
jamás,Never
largo,Long
pena,Pain
voz,Voice
futuro,Future
siente,Feel
secreto,Secret
baño,Bathroom
mil,Thousand
decirte,Tell You
pensaba,Thought
novia,Bride
propia,Own
sueño,Sleep
haz,Make
fuerza,Strength
deben,They Should
supone,Suppose
estábamos,We Were
ambos,Both Of Them
ay,Oh
estuve,Was
encontré,I Found
vuelto,Turned
dolor,Pain
dile,Tell Him
encanta,Loves
edad,Age
darle,Give Him
pie,Foot
negro,Black
ganar,To Win
aire,Air
lamento,Lament
verlo,See Him
asesinato,Murder
vio,Saw
adónde,Where To
llegado,Arrived
disculpe,Excuse Me
cita,Appointment
estaría,It Would
fuiste,You Were
sistema,System
gusto,Taste
pobre,Poor
negocio,Business
mente,Mind
tuyo,Yours
campo,Countryside
mire,Look
situación,Situation
tras,After
hotel,Hotel
vosotros,You All
funciona,It Works
foto,Photo
abogado,Attorney
loca,Crazy
propio,Own
alrededor,Around
próxima,Next
terminado,Finished
hablas,Speak
pagar,To Pay
mató,Killed
llamo,I Call
personal,Personal
sientes,You Feel
ocurre,Occurred
ésta,Is
recuerda,Remember
mitad,Half
quiera,Want
pelo,Hair
tenías,You Had
viste,Dresses
oficial,Official
llegó,I Arrive
compañía,Company
relación,Relationship
conoce,Known
pase,Happens
montón,Heap
mejores,Top
creí,I Believed
cena,Dinner
sentir,Feel
través,Through
accidente,Accident
ellas,They
caja,Box
tranquilo,Quiet
bonito,Nice
eras,Ages
asi,So
pudo,He Could
vive,It Lives
vista,View
estúpido,Stupid
línea,Line
caballeros,Gentlemen
haremos,Will
quédate,Stay
tienda,Shop
comprar,To Buy
entendido,It Is Understood
centro,Center
salvo,Except
mes,Month
sol,Sun
tonto,Fool
hambre,Hunger
mesa,Desk
respuesta,Answer
completamente,Completely
carta,Letter
totalmente,Totally
imposible,Impossible
pruebas,Tests
novio,Boyfriend
normal,Normal
gustan,Like
pude,Could
traje,Costume
dirección,Address
siete,Seven
dijeron,They Said
placer,Pleasure
tendrá,Will Have
barco,Boat
blanco,White
profesor,Teacher
servicio,Service
muchacho,Young Guy
reunión,Meeting
dejado,Left
ley,Law
quisiera,I'D Like
hubo,There Was
programa,Program
carrera,Career
cumpleaños,Birthday
muchachos,Boys
culo,Ass
canción,Song
hermosa,Beautifull
universidad,University
boda,Wedding
decirme,Tell Me
cualquiera,Any
tengas,You Have
hacía,Toward
estés,Bene
sala,Living Room
llevo,I Wear
decisión,Decision
espere,Wait
necesario,Necessary
sal,Salt
entra,Enters
prisa,Rush
embargo,Embargo
interesante,Interesting
tendrás,You Will Have
escuchar,Listen
abuela,Grandma
hicieron,They Made
detective,Detective
horrible,Horrible
suelo,Ground
fotos,Photos
cárcel,Jail
acá,Here
siéntate,Sit Down
decía,He Said
intentando,Trying
vámonos,Let'S Go
maldición,Curse
silencio,Be Quiet
muerta,Dead
capaz,Capable
salió,He Left
club,Club
terminar,End Up
temo,Fear
broma,Joke
gobierno,Government
prometo,I Promise
cámara,Camera
media,Half
terrible,Terrible
llamó,I Call
regalo,Present
amable,Nice
dulce,Sweet
muertos,Dead
querías,You Wanted
ataque,Attack
das,You Give
navidad,Christmas
negocios,Business
pudiera,I Could
ocho,Eight
avión,Airplane
investigación,Investigation
acabó,Just
mantener,Maintain
ejército,Army
papel,Paper
partes,Parties
gracioso,Funny
diría,Would Say
principio,Beginning
delante,In Front Of
teniente,Lieutenant
deseo,Wish
nave,Ship
sale,Comes Out
basura,Trash
vine,Came
contacto,Contact
esposo,Husband
tren,Train
encontramos,We Find
dale,Go Ahead
verdadero,True
tuya,Yours
alma,Soul
hazlo,Do It
disculpa,Sorry
junto,Together
anda,Go
tendré,I Will Have
matrimonio,Marriage
saberlo,Know It
locura,Craziness
oro,Gold
permiso,Excuse Me
peligro,Danger
libertad,Liberty
alegro,Glad
baja,Come Down
tendremos,We Will Have
derecha,Right
encuentra,Find
pies,Feet
segunda,Second
maravilloso,Marvelous
espacio,Space
rato,A While
abuelo,Grandfather
esperaba,I Expected
mirando,Looking
salud,Health
sorpresa,Surprise
ninguno,None
miren,Look
triste,Sad
aun,Yet
pensado,Thought-Out
maestro,Teacher
según,According
infierno,Hell
podrían,Could
tipos,Types
tía,Aunt
crimen,Crime
conocido,Known
consejo,Tip
ante,In View Of
iglesia,Church
intento,Tried
mayoría,Most
doy,I Give
hicimos,We Did
escena,Scene
piso,Flat
señal,Sign
honor,Honor
llamas,Calls
abre,Opens
cerebro,Brain
veras,You'Ll See
viendo,Seeing
pone,Places
pregunto,I Ask
cocina,Kitchen Room
vestido,Dress
inteligente,Intelligent
vieja,Old
caballo,Horse
vienen,They Come
vidas,Lives
bar,Pub
corte,Court
sucedió,It Happened
adentro,Inside
drogas,Drugs
enseguida,Right Away
busca,Seeks
agradable,Nice
carne,Meat
parecía,Looked Like
departamento,Department
lindo,Cute
mar,Sea
duda,Doubt
edificio,Edifice
conocer,Know
cargo,Post
víctima,Victim
luna,Moon
energía,Energy
frío,Cold
hablo,Talked
baile,Dance
trabaja,Works
misión,Mission
listos,Ready
ayudarte,Help You
izquierda,Left
beber,To Drink
deje,Leave
finalmente,Finally
simple,Simple
daré,I'Ll Give
sabías,You Knew
puedas,Can
puso,Put
creía,He Believed
regresar,To Return
llega,Arrives
entender,Understand
mirar,Look
sacar,Take
cambiado,Changed
trae,Bring
hermoso,Handsome
opinión,Opinion
verás,You'Ll See
linda,Pretty
apenas,Barely
segundos,Seconds
cerveza,Beer
harás,You Will Do
estuviera,I Was
oír,Hear
tendría,Would Have
cuántos,How Many
hablado,Spoken
hablamos,We Speak
reina,Queen
temprano,Early
tema,Theme
prisión,Prison
porqué,Because
vuelva,Return
público,Public
ocurrió,Occurred
veré,I Will See
salvar,Save
partido,Match
bonita,Pretty
joder,Fuck
causa,Cause
caliente,Hot
sargento,Sergeant
cenar,Diner
compañero,Partner
llevó,I Wear
banco,Bank
existe,Exists
zona,Zone
destino,Destiny
solía,Used To
cliente,Customer
irse,Leave
perra,Bitch
encuentro,Meeting
encontró,He Found
pelea,Fight
san,Saint
norte,North
quise,I Wanted
coronel,Colonel
apuesto,Handsome
peligroso,Dangerous
viva,Live
vienes,You Come
necesitan,Need
té,Tea
excepto,Except
juicio,Judgment
podamos,We Can
llave,Wrench
equivocado,Wrong
posición,Position
trasero,Rear
irnos,Weaken
espalda,Back
excelente,Excellent
éxito,Success
modos,Modes
ventana,Window
veamos,Let'S See
especie,Species
teníamos,We Had
diferencia,Difference
formas,Shapes
pedir,Ask For
últimos,Last
escúchame,Listen To Me
ejemplo,Example
ése,That
radio,Radio
lee,Read
calma,Calm Down
hogar,Home
volveré,I Will Be Back
fondo,Bottom
humano,Human
tí,You
iremos,We'Ll Go
unidos,United
habían,They Had
jesús,Jesus
planeta,Planet
verme,See Me
respecto,Respect
regreso,Return
debido,Due
seré,I Will Be
tenían,They Had
leer,Read
parar,Stop
lleno,Full
dejé,Leave
respeto,I Respect
debajo,Below
harry,Harry
escribir,To Write
estación,Station
pidió,Requested
alta,High
pista,Track
estrella,Star
enfermo,Ill
duele,It Hurt
sueños,Dreams
veremos,We Will See
miles,Thousands
darme,Give Me
órdenes,Orders
ocupado,Busy
sigues,Are You Still
corre,Run
podido,I Have
dejes,Leaves
nivel,Level
habéis,You Have
experiencia,Experience
darte,To Give You
salida,Exit
decirlo,To Say It
confiar,Trust
hacerte,Make Yourself
necesitaba,Needed
hermanos,Brothers
zapatos,Shoes
color,Colour
vistazo,Glance
nena,Chick
tratar,Treat
parecer,Seem
juez,Judge
próximo,Next
paciente,Patient
hayas,Beech
bolsa,Bag
arte,Art
jugando,Playing
llevas,Wearing
alegra,Happy
bailar,Dance
diablo,Devil
oí,I Heard
sepa,Know
estarás,You Will Be There
sur,South
banda,Band
aprender,Learn
precio,Price
completo,Full
santo,Holy
culpable,Guilty
ganas,Desire
tuvimos,We Had
verla,See
volvió,Went Back
libros,Books
ojo,Eye
serán,Will Be
cielos,Heavens
matado,Killed
azul,Blue
diferentes,Different
irte,Leave
comandante,Commander
acción,Action
reglas,Rules
obra,Construction Site
esperanza,Hope
cuestión,Question
molesta,Upset
teniendo,Having
informe,Report
río,River
bienvenido,Welcome
abrir,To Open
tocar,Play
contar,Tell
sigo,I Follow
interior,Inside
apartamento,Apartment
vea,See
estados,State
estáis,Stays
preocupa,Worries
tomó,I Take
empieza,Starts
londres,London
empezó,It Started
vayan,Go
llaman,Call
ojalá,I Wish
perdona,Sorry
vuelvo,I Come Back
golpe,Knock
quedarme,Stay
llamaré,I Will Call
acabado,Finish
estilo,Style
nueve,Nine
definitivamente,Definitely
quedar,Stay
cartas,Letters
bomba,Bomb
guardia,Guard
pistola,Gun
probar,Try
majestad,Majesty
traer,Bring
marcha,March
pareces,You Look Like
común,Common
aquel,That
hacerle,Do
vuelo,Flight
nota,Note
humanos,Humans
estaremos,We Will Be
valor,Value
suyo,Yours
objetivo,Objective
repente,Suddenly
debía,Should
rojo,Red
bromeando,Joking
irá,Go To
entrada,Entry
doble,Double
dejaré,I Will Leave
evitar,To Avoid
máquina,Machine
cuello,Neck
conocí,I Met
tiempos,Time
tome,Take
animales,Animals
acaso,Perhaps
tuviera,I Had
pareja,Couple
verano,Summer
escuché,Listen
serás,You Will
mentira,Lie
tarjeta,Card
hagan,Do
perdí,I Missed
correr,To Run
traído,Brought
llegue,I Arrived
preparado,Prepared
haberlo,To Have It
usa,Uses
intentar,Attempt
ayudarme,Help Me
flores,Flowers
dando,Giving
vos,You
opción,Option
isla,Island
cierra,Closing
piel,Skin
enemigo,Enemy
dejo,Left
exacto,Exactly
imbécil,Fool
jóvenes,Youths
pedido,Order
larga,Long
entiende,Understands
justicia,Justice
nuevos,New
obviamente,Obviously
despierta,Wake Up
pido,I Ask
calor,Hot
luces,Lights
refiero,Refero
fuimos,Went
batalla,Battle
déjalo,Leave It Alone
intenta,Try
fantástico,Fantastic
brazo,Arm
absolutamente,Absolutely
llena,Full
hacerme,Do
salga,Out
recordar,Remind
escapar,Escape
bosque,Forest
señores,Sirs
quedan,Stay
piernas,Legs
visita,Visit
parís,Paris
usando,Using
ganado,Won
movimiento,Movement
blanca,White
rico,Rich
inocente,Innocent
pesar,Weigh
absoluto,Absolute
vacaciones,Holidays
mismos,Same
tomado,Taken
habías,You Had
planes,Plans
cine,Cinema
toca,Touched
brillante,Shiny
confianza,Confidence
vuestra,Your
nombres,Names
especialmente,Especially
embarazada,Pregnant
esperen,Wait
pantalones,Pants
defensa,Defending
terminó,Finished
salido,Stepped Out
estupendo,Great
presión,Pressure
inmediatamente,Immediately
testigo,Witness
deberían,Should
olvidado,Forgotten
soldados,Soldiers
resulta,Result
depende,It Depends
motivo,Reason
inglés,English
suya,Hers
estudio,Study
acabar,Finish
sentimientos,Feelings
tomando,Taking
dieron,Given
parecen,They Look Like
llaves,Keys
perros,Dogs
propósito,Purpose
noticia,News
partir,Leaving
vuestro,Your
metros,Meters
santa,Holy
quedarse,To Stay
clientes,Customers
podrá,Can
cuántas,How Many
ridículo,Ridiculous
damas,Ladies
estuviste,You Were
tranquila,Quiet
operación,Operation
come,Eat
empresa,Company
ayúdame,Help Me
laboratorio,Laboratory
elección,Choice
menudo,Often
beso,Kiss
copa,Cup
conversación,Conversation
brazos,Arms
espíritu,Spirit
dejas,You Let
cansado,Tired
interesa,Interest
refieres,You Mean
casado,Married
enorme,Enormous
asuntos,Affairs
fe,Faith
muestra,Shows
trampa,Trap
memoria,Memory
contrario,Contrary
soldado,Soldier
subir,Upload
turno,Turn
encantaría,Enchantment
preocupado,Worried
restaurante,Restaurant
saliendo,Coming Out
escrito,Written
cálmate,Take It Easy
bienvenida,Welcome
caer,Fall
llevaré,I Will Take
leche,Milk
estrellas,Star
prefiero,I Prefer
red,Net
viejos,Old
solamente,Only
oiga,Listen
estén,Estase
cuentas,Accounts
taxi,Cab
anillo,Ring
preguntar,To Ask
victoria,Victory
quiénes,Who Is It
héroe,Hero
pequeños,Little Ones
decidido,Decided
películas,Films
trago,Drink
volverá,To Return To
árbol,Tree
dientes,Teeth
encantado,Charmed
camión,Truck
vender,Sell
llame,I Called
detente,Stop
luchar,To Struggle
cabo,Cape
ruido,Noise
lucha,Struggle
muere,Go Dead
reloj,Watch
gato,Cat
averiguar,Find Out
volar,To Fly
vayamos,Let'S Go
tanta,So Much
vendrá,Will Come
corriendo,In A Hurry
yendo,Going
colegio,School
sonido,Sound
caballero,Gentleman
pasada,Pass
código,Code
hagamos,Let'S Do
imagen,Image
riesgo,Risk
llegamos,We Arrived
alguno,Any
pan,Bread
millón,Million
malas,Bad
dama,Lady
hielo,Ice
coño,Cone
cayó,It Fell
prensa,Press
querer,Want
vengan,Come
caminar,Walk
televisión,Tv
pasará,It Will Happen
momentos,Moments
coger,Take
posibilidad,Possibility
hubiese,Hadie
asiento,Seat
tuviste,You Saw
herido,Injured
maría,Maria
seguramente,Surely
proyecto,Draft
pared,Wall
sentí,I Felt
sospechoso,Suspicious
naturaleza,Nature
ésa,This
silla,Chair
perdió,Lost
policías,Police
arreglar,Fix
sentado,Sitting
papi,Daddy
obtener,Get
felices,Happily
señoría,Lordship
cantidad,Amount
bebe,Baby
mírame,Look At Me
papa,Dad
llorar,Mourn
quedó,It Was Left
familiar,Family
desastre,Disaster
locos,Crazy
escuche,I Listened
quedarte,Stay
política,Politics
pedí,I Ordered
sois,You Are
nosotras,We
enfermedad,Disease
encontraron,They Found
colega,Colleague
príncipe,The Prince
verde,Green
bajar,Go Down
nervioso,Highly Strung
vengo,I Come
sirve,It Serves
puertas,Doors
fuerzas,Forces
playa,Beach
cantar,To Sing
déjeme,Leave Me
velocidad,Speed
cabello,Hair
suficientemente,Enough
huellas,Footprints
haberte,Habering You
debí,Owned
unidad,Unit
estan,Are
cuchillo,Knife
oigan,Hear
quienes,Who
gana,Win
tonterías,Silly Stuff
emergencia,Emergency
perfecta,Perfect
hable,I Talked
gustaba,I Liked
lugares,Places
robo,Stole
permite,It Allows
parque,Park
uds.,You
roto,Broken
puse,Puseum
nuevas,New Ones
evidencia,Evidence
conocerte,Meet
estúpida,Stupid
preocupe,Worry
perdone,Sorry
botella,Bottle
viento,Wind
mando,Command
extraña,Strange
historias,Stories
aquella,That
tenéis,You Have
solos,Alone
apoyo,Support
bala,Bullet
verdadera,True
tiro,Threw
época,Epoch
puente,Bridge
olvídalo,Forget It
distancia,Distance
desea,Desired
dejarlo,Leave It
pelear,Quarrel
pierna,Leg
echar,Throw
descanso,Break
américa,America
área,Area
orgulloso,Proud
datos,Data
espectáculo,Show
sube,Goes Up
dejaste,You Left
acabas,End
verá,See
magia,Magic
nacional,National
universo,Universe
llevaba,Wearing
necesitar,Need
nariz,Nose
aquellos,Those
clases,Lessons
casas,Houses
vergüenza,Shame
estarán,They Will Be
monstruo,Monster
princesa,Princess
autobús,Bus
cuidar,Look After
huevos,Eggs
pocos,Few
podrás,You Can
enferma,Ill
paseo,Walk
detalles,Details
llamadas,Calls
belleza,Beauty
francia,France
abierto,Opened
viviendo,Living
envió,Shipping
puntos,Points
ministro,Minister
conducir,Drive
aceptar,To Accept
borracho,Drunk
caballos,Horses
trajo,Brought
contrato,Contract
viernes,Friday
bienvenidos,Welcome
ex,Former
hechos,Facts
sociedad,Society
dra.,Dr
tengan,Have
quede,Remains
inglaterra,England
carga,Load
diste,You Gave
puto,Fucking
lleve,I Carried
presente,Present
conocía,I Knew
uso,Use
dedos,Fingers
oferta,Offer
sentía,I Felt
proteger,To Protect
hiciera,Do
hablé,I Talked
recibir,Receive
agradezco,I Appreciate
robar,Steal
enamorado,In Love
sepas,Separa
oeste,West
herida,Wound
despacio,Slowly
ayude,Help
directamente,Directly
inmediato,Righ Now
profesional,Professional
oscuro,Dark
mercado,Market
cerdo,Pork
tardes,Afternoon
líder,Leader
grave,Serious
llegué,I Arrived
jurado,Jury
casos,Cases
acuerdas,Remember
ahi,There
desaparecido,Missing
debió,He Owned
hubieras,You Would Have
últimamente,Lately
piedra,Stone
éramos,We Were
habló,Speak
paga,Pay
secretos,Secrets
digamos,Let'S Say
intención,Intention
dura,Hard
dará,Give To
seguros,Insurance
ángeles,Angels
querría,I Would Want
cerrar,To Close
conseguido,Achievement
peso,Weight
víctimas,Victims
asesinado,Murdered
humana,Human
directo,Direct
termina,Ends
compañeros,Companions
escuchado,Listened
contento,Happy
llevan,They Carry
podré,I Will Be Able
oscuridad,Darkness
actuar,Act
siga,Follow-Up
llevado,Led
comenzó,Started
regresa,Came Back
privado,Private
mirada,Look
demonio,Devil
abierta,Open
llámame,Call Me
siguen,Follow
romper,To Break
cambia,Change
jardín,Yard
gratis,Free
cuesta,Costs
amenaza,Threat
pon,Put
marca,Mark
comenzar,Start
ponte,Put
medicina,Medicine
podremos,We Will Can
tomé,Take
preciosa,Beautiful
acceso,Access
necesidad,Need
dueño,Owner
merece,Deserve
rayos,Ray
mintiendo,Lying
tantas,Many
imagino,I Imagine
fantasma,Ghost
creerlo,Believe It
llamé,I Called
ponga,Put
dé,From
pollo,Chicken
varios,Several
efecto,Effect
felicidad,Happiness
espada,Sword
relaciones,Relations
entró,I Enter
resultado,Outcome
sombrero,Hat
menor,Less
recibido,Received
negra,Black
habido,Having
limpio,Cleansed
juegos,Games
correo,Mail
confía,Reliable
perfectamente,Perfectly
harán,They Will Do
teatro,Theater
dormido,Asleep
quedado,Left
lástima,Pity
calles,Streets
créeme,Trust Me
responsabilidad,Responsibility
búsqueda,Search
dedo,Finger
tonta,Dumb
recuerdos,Regards
razones,Reasons
escuchando,Listening
elegir,Choose
huele,Smells
almuerzo,Lunch
cien,One Hundred
adn,Dna
tantos,Ways
pago,Payment
normalmente,Usually
pastel,Pie
bastardo,Bastard
cinta,Headband
pasé,Happens
dígame,Tell Me
costa,Coast
levántate,Get Up
llamando,Calling
cerrado,Closed
interés,Interest
enfermera,Nurse
comienzo,Start
olvidé,Forget
fuese,Fue
militar,Military
polvo,Dust
